Methods,SEAM,RVB,DWRM,Dat,Scope,Class,mAP_kpt/%,F1/%,Parameters/M,FPS,Test Dataset,Image Size,Batch (req),Batch (used),Epochs (max),Epoch stops,Learning rate,Patience,Optimizer,Det P(%),Det R(%),Det F1(%),Det mAP50(%),Det mAP50-95(%),Pose P(%),Pose R(%),Pose F1(%),Pose mAP50(%),Pose mAP50-95(%),MEA(px),CAR(%),RMSE(%),mean time(ms/img),Parameters,vs baseline,Layers,GFLOPs
A,×,×,×,×,Weed only,Weed (class 8),66.8,71.93,20.91,55.1,CropsOrWeed9 (test),1280,8,8,150,46 (early stop; best@36),"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,69.68,58.76,63.76,54.2,32.17,78.72,66.22,71.93,66.8,65.56,10.804,74.98,0.9677,4.81,20909172,DetP-14.28 DetR-5.11 DetF1-8.79 DetmAP50-16.13 PoseP-7.15 PoseR-6.13 PosemAP50-10.79 MEA+1.930 CAR-7.78,247,71.9
B,×,×,×,✓,Weed only,Weed (class 8),77.59,78.54,20.91,55.3,CropsOrWeed9 (test),1280,8,8,150,95 (early stop; best@85),"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,83.96,63.87,72.55,70.33,46.34,85.87,72.35,78.54,77.59,77.12,8.874,82.757,0.9202,4.79,20909172,— (reference),247,71.9
C,✓,×,×,✓,Weed only,Weed (class 8),79.39,76.64,41.23,51.1,CropsOrWeed9 (test),1280,8,8,150,105 (early stop; best@95),"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,85.42,63.29,72.7,71.9,46.8,89.71,66.9,76.64,79.39,78.53,8.648,84.275,0.8346,6.32,41233332,DetP+1.46 DetR-0.58 DetF1+0.15 DetmAP50+1.57 PoseP+3.84 PoseR-5.45 PosemAP50+1.80 MEA-0.226 CAR+1.52,415,84.5
D,×,✓,×,✓,Weed only,Weed (class 8),77.79,78.99,41.74,45.1,CropsOrWeed9 (test),1280,8,8,150,103 (early stop; best@93),"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,78.86,69.83,74.07,70.5,45.43,82.99,75.36,78.99,77.79,77.24,8.851,83.773,0.862,9.11,41736628,DetP-5.10 DetR+5.96 DetF1+1.52 DetmAP50+0.17 PoseP-2.88 PoseR+3.01 PosemAP50+0.20 MEA-0.023 CAR+1.02,345,195.8
E,×,×,✓,✓,Weed only,Weed (class 8),78.07,77.5,48.54,45.3,CropsOrWeed9 (test),1280,8,8,150,91 (early stop; best@81),"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,81.93,66.08,73.15,69.84,45.57,87.75,69.4,77.5,78.07,77.27,8.953,83.282,0.936,9.04,48535604,DetP-2.03 DetR+2.21 DetF1+0.60 DetmAP50-0.49 PoseP+1.88 PoseR-2.95 PosemAP50+0.48 MEA+0.079 CAR+0.52,269,212.1
F,✓,✓,×,✓,Weed only,Weed (class 8),75.25,76.89,352.04,30.9,CropsOrWeed9 (test),1280,8,8,150,72 (early stop; best@62),"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,81.52,64.08,71.76,67.95,43.69,86.31,69.33,76.89,75.25,74.76,8.936,80.872,0.881,18.68,352037812,DetP-2.44 DetR+0.21 DetF1-0.79 DetmAP50-2.38 PoseP+0.44 PoseR-3.02 PosemAP50-2.34 MEA+0.062 CAR-1.89,513,371.0
G,✓,×,✓,✓,Weed only,Weed (class 8),77.53,79.59,358.84,30.9,CropsOrWeed9 (test),1280,8,8,150,98 (early stop; best@88),"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,82.5,66.13,73.41,70.06,45.3,85.59,74.39,79.59,77.53,76.77,8.747,82.38,0.8776,18.71,358836788,DetP-1.46 DetR+2.26 DetF1+0.86 DetmAP50-0.27 PoseP-0.28 PoseR+2.04 PosemAP50-0.06 MEA-0.127 CAR-0.38,437,387.6
H,×,✓,✓,✓,Weed only,Weed (class 8),77.43,77.98,47.79,43.7,CropsOrWeed9 (test),1280,8,8,150,87 (early stop; best@77),"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,83.6,62.93,71.81,69.27,45.11,86.64,70.89,77.98,77.43,76.55,8.884,82.448,0.8426,9.79,47787124,DetP-0.36 DetR-0.94 DetF1-0.74 DetmAP50-1.06 PoseP+0.77 PoseR-1.46 PosemAP50-0.16 MEA+0.010 CAR-0.31,367,209.3
I,✓,✓,✓,✓,Weed only,Weed (class 8),77.34,78.86,358.09,30.4,CropsOrWeed9 (test),1280,8,8,150,98,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,81.05,67.06,73.39,69.6,44.85,86.02,72.8,78.86,77.34,76.85,8.707,82.745,0.8069,19.39,358088308,DetP-2.91 DetR+3.19 DetF1+0.84 DetmAP50-0.73 PoseP+0.15 PoseR+0.45 PosemAP50-0.25 MEA-0.167 CAR-0.01,535,384.6
